round,AVG RTT,AVG distance
568,0.9741187096,0.461644802
569,1.5842430294,0.4362931463
570,2.1159239113,0.4571013642
571,1.4582984149,0.4340322276
572,0.9086169302,0.4198418726
573,0.9797252715,0.4386414501
574,1.9571222365,0.4434413237
575,1.9543729723,0.4174228028
576,1.3505965471,0.3734712444
577,1.071434468,0.4591111269
578,1.8196366727,0.4317511759
579,2.3161359131,0.4642213145
580,1.5255846083,0.4470299578
581,0.7333010435,0.4344635966
582,1.7944127321,0.4345834052
583,2.8500556946,0.439856403
584,2.8674602509,0.4164012878
585,1.3003721833,0.3829772328
586,0.8900649846,0.4784937698
587,1.5079267323,0.443701015
588,2.1237879992,0.4820914312
589,1.465048641,0.4528207339
590,0.8413121104,0.4367464157
591,0.7997192442,0.4541168356
592,1.8444545567,0.4494941252
593,1.8345452845,0.4328906899
594,1.2758411467,0.4031496467
595,0.9607337415,0.4556579333
596,1.7699189484,0.420752144
597,2.3522749543,0.4526774842
598,1.6406998038,0.4317305373
599,0.8383318782,0.4085046878
600,1.1041946709,0.4429496085
601,2.1602883935,0.4484137276
602,2.1627731621,0.4241957213
603,1.3070739806,0.3821817062
604,0.8529238403,0.4456074467
605,1.4602318406,0.4234943189
606,2.0336322486,0.4426725213
607,1.4277808368,0.4209256071
608,0.802192837,0.4060252721
609,4.7819912434,0.4441549223
610,5.8926157653,0.4498769869
611,5.9076212347,0.4358771387
612,1.3595484197,0.3933024094
613,1.0135732591,0.4605317063
614,1.608774066,0.438239768
615,2.1299943328,0.4624527694
616,1.3635829091,0.4366479292
617,0.7691681385,0.4181061661
618,6.0792677105,0.3983596641
619,7.314838469,0.3800399148
620,7.8354030848,0.3980574613
621,2.0019710064,0.3628072788
622,0.768493861,0.3468043557
623,0.8244514465,0.3460632197
624,1.3324953616,0.3236120568
625,1.3597011566,0.315867594
626,0.7705241442,0.3088463974
627,0.2687424421,0.2956338109
628,1.5609189868,0.2866252786
629,2.1022334695,0.2862692139
630,2.0986385643,0.2841411109
631,0.7803179324,0.2757976559
632,0.2345778048,0.2715657285
633,0.7553435862,0.2681513375
634,1.3023279607,0.2606966763
635,1.3343095779,0.2629994354
636,0.8036643267,0.2647367526
637,1.4662146568,0.2593170974
638,19.9955515564,0.2591859908
639,19.9947394431,0.257687357
640,18.7738910318,0.2520751503
641,0.2320483327,0.2551633495
642,0.2510845661,0.2544629151
643,1.7733722925,0.2491924535
644,2.6445053518,0.2529168631
645,2.6309974492,0.2537042872
646,1.1194683611,0.2494335834
647,0.2295225859,0.2496006477
648,0.7530935109,0.2481953545
649,1.5028603375,0.2444008234
650,1.5037842095,0.2484833434
651,0.9765140712,0.2469075154
652,1.8669180572,0.2438714082
653,2.3715682328,0.2476154141
654,2.3711398244,0.2459609694
655,0.7289648056,0.2419853584
656,0.219848007,0.24573654
657,0.7784925401,0.2441784351
658,1.3927146792,0.2408805777
659,1.3909451663,0.2448509428
660,0.8380971849,0.2422355291
661,0.9089075029,0.2399593192
662,5.2213482559,0.2447273879
663,5.2178800106,0.242039591
664,4.5324750245,0.2406527746
665,0.2264268696,0.2448666422
666,0.2269633114,0.2420192175
667,1.2298375368,0.2411684523
668,1.238476485,0.2444596767
669,1.2415759265,0.2413885083
670,0.9438581765,0.239990287
671,1.5418380499,0.2433181354
672,2.0602419972,0.2408886956
673,1.3517737389,0.2385484805
674,0.7572807372,0.2411412615
675,0.235915184,0.2384639842
676,1.3593137264,0.2370706288
677,1.3404749334,0.2390774261
678,1.3339072466,0.2361412003
679,0.2108104527,0.2360588891
680,0.8826777339,0.2378702732
681,1.3922937214,0.2348435692
682,1.9133873284,0.234481202
683,1.2454837561,0.2344533864
684,0.7436163723,0.2321922099
685,1.5356466174,0.2322683896
686,2.0551905036,0.2326203018
687,2.0609237254,0.2307874761
688,0.7521696389,0.232029695
689,0.2451203763,0.2332310692
690,0.8572116494,0.2312332375
691,1.3686716557,0.2324880878
692,1.3644956052,0.2339344467
693,0.7535368204,0.2324469435
694,0.9201690555,0.2319965677
695,1.4454722404,0.2327457225
696,1.9592121243,0.2330055845
697,1.2793056667,0.2336560426
698,0.7503964007,0.2338016493
699,0.7937774062,0.2343703773
700,3.1463764608,0.2335716897
701,3.1496323645,0.2357495479
702,2.5851540267,0.2350165905
703,0.2293139696,0.2346272747
704,0.86241588,0.2368877133
705,1.4370903373,0.2372974406
706,1.4264285564,0.2354207326
707,0.788833946,0.2378888286
708,0.2159625292,0.237642746
709,1.3588517904,0.2359691745
710,1.8778592348,0.2385504563
711,1.8723271787,0.2365353517
712,0.7328949869,0.2333836258
713,0.9435191751,0.2355232011
714,1.5631280839,0.2338270026
715,2.0839199424,0.2314834423
716,1.3565011323,0.2332015352
717,0.7390454412,0.231453904
718,1.6570910811,0.2305407075
719,2.3918151855,0.2326477078
720,2.403922379,0.2291324124
721,0.9759403765,0.2290291974
722,0.2314597368,0.2335794648
723,1.2179464102,0.2305175835
724,1.7181523144,0.2311630292
725,1.7317160964,0.2343294312
726,0.7321499288,0.232129367
727,0.8153840899,0.2313983379
728,1.3168826699,0.2330852793
729,1.8314197659,0.2310776433
730,1.5748788913,0.234024679
